"session","year","issue","n_members","asean_mean","asean_sd","asean_min","asean_max","asean_range","us_idealpoint","china_idealpoint","mean_dist_us","mean_dist_china"
56,2001,"Human Rights",10,-0.77183414,0.402319001337991,-1.209806,-0.1465816,1.0632244,2.567887,-1.191583,3.33972114,0.41974886
56,2001,"Important Votes",10,-1.01225193,0.366499297488143,-1.403011,-0.3057244,1.0972866,3.188321,-1.156745,4.20057293,0.14449307
56,2001,"Middle East",10,-0.71010701,0.120446036529545,-0.8054446,-0.427648,0.3777966,3.330121,-0.7318135,4.04022801,0.02170649
56,2001,"Non-Nuclear",10,-0.88375152,0.454579687293814,-1.466867,-0.2374097,1.2294573,2.776079,-1.225334,3.65983052,0.34158248
56,2001,"Nuclear",10,-0.68209738,0.209483260262632,-1.072342,-0.4241361,0.6482059,2.381791,0.2412155,3.06388838,0.92331288
57,2002,"All",10,-0.81384313,0.394593645112007,-1.425747,-0.1752234,1.2505236,2.733395,-0.5386405,3.54723813,0.27520263
57,2002,"Human Rights",10,-0.659172206,0.386666579831925,-1.021667,0.04793224,1.06959924,2.725257,-1.027524,3.384429206,0.368351794
57,2002,"Important Votes",10,-0.98558512,0.361314955137582,-1.496845,-0.2537858,1.2430592,2.992859,-1.135653,3.97844412,0.15006788
57,2002,"Middle East",10,-0.73996066,0.0645926504727761,-0.7969829,-0.5925312,0.2044517,3.199743,-0.7808828,3.93970366,0.0409221399999999
57,2002,"Non-Nuclear",10,-0.79281633,0.431824982802629,-1.473523,-0.1113717,1.3621513,2.879599,-1.178515,3.67241533,0.38569867
57,2002,"Nuclear",10,-0.68039102,0.183530937946433,-1.013116,-0.437607,0.575509,2.511243,0.1821207,3.19163402,0.86251172
58,2003,"All",10,-0.84731911,0.466067076072527,-1.532455,-0.181328,1.351127,2.902368,-0.9454819,3.74968711,0.0981627900000001
58,2003,"Human Rights",10,-0.707651921,0.461251412160625,-1.210857,0.0310271,1.2418841,2.765358,-1.114912,3.473009921,0.407260079
58,2003,"Important Votes",10,-0.898000698,0.571920789558856,-1.729389,0.02925592,1.75864492,2.859733,-1.600128,3.757733698,0.702127302
58,2003,"Middle East",10,-0.6863605,0.302645156704283,-0.8982326,0.1506869,1.0489195,3.101676,-0.8988063,3.7880365,0.2124458
58,2003,"Non-Nuclear",10,-0.84138297,0.509655282636235,-1.588986,-0.1361168,1.4528692,3.075062,-1.499709,3.91644497,0.65832603
58,2003,"Nuclear",10,-0.6816406,0.170401946918885,-1.013702,-0.462559,0.551143,2.504767,0.102568,3.1864076,0.7842086
59,2004,"All",10,-0.7739932,0.447383024366832,-1.485679,-0.1215335,1.3641455,2.819677,-0.8424348,3.5936702,0.0684416
59,2004,"Human Rights",10,-0.605064363,0.451112462628462,-1.174071,0.09643781,1.27050881,2.636171,-1.113902,3.241235363,0.508837637
